WKT,id,nom_ets,adresse,commune,lib_regime,url_fiche,lib_seveso
"POINT (7.01062304306264 47.709638242681)","5374",MECAPLUS,ZAC de la Brasserie - 2 rue du général De Gaulle,LACHAPELLE SOUS ROUGEMONT,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901436,Non Seveso
"POINT (7.01857879885732 47.7133214013035)","5396",KAUFFMANN HENRI,17 rue du général De Gaulle,LACHAPELLE SOUS ROUGEMONT,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903502,Non Seveso
"POINT (7.03194457186925 47.6852650868354)","5423",GAEC DU BREUIL,2 RUE DE L'ECOLE - CIDEX 132,VAUTHIERMONT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000048,
"POINT (6.9754696257948 47.7053957887016)","5424",GAEC CHRETIEN,CIDEX 60 19 RUE DE L'EGLISE,FELON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000021,
"POINT (7.03392587840707 47.6827002274708)","5425",EARL DU HAUT DE L'EGLISE,7 RUE DU TILLEUL,VAUTHIERMONT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000051,
"POINT (6.97590262491728 47.7285419621261)","5428",GAEC RECONNU DUCROZ,5 RUE PRINCIPALE,LEVAL,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000036,
"POINT (7.00442406905474 47.6937909178126)","5434",GAEC MICHEL,"11, rue du Moulin",ANGEOT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000059,
"POINT (6.99992353063137 47.6807870889472)","5452",COPROSID,"1 et 8, rue du Général Beuret",Larivière,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902140,Non Seveso
"POINT (5.50343603193452 47.2628470956277)","5506",PARIS MICHEL,,CHAMPAGNEY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300738,Non Seveso
"POINT (5.46323377589749 47.0768259194031)","5507",AFULUDINE,Centre d'activités nouvelles du Grand Dole - 210 avenue de Verdun - BP 400,Dole,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301780,Non Seveso
"POINT (5.58640407732149 47.1406577706909)","5508",PERNOT S.E.T. (Audelange),Lieudit Les Creux de l'Abbayette,AUDELANGE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903227,Non Seveso
"POINT (5.54248125007359 47.1951631856297)","5509",CARRIERES DE MOISSEY,rue de la Serre,MOISSEY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900904,Non Seveso
"POINT (5.46776498902851 47.1138941869145)","5510",SOCIETE DES CARRIERES DE L'EST,Avenue Gustave Courbet,MONNIERES,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900907,Non Seveso
"POINT (5.51482693866792 47.1124118047765)","5511",ALPHA RECYCLAGE FRANCHE COMTE,22 allée du Bois,Brevans,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100053,Non Seveso
"POINT (5.41689835020324 47.0667703182597)","5512",INOVYN FRANCE,Grange Sèche,DAMPARIS,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100168,Non Seveso
"POINT (5.48466128434432 47.1323669781636)","5513",SOCALEST  (Jouhe),MONT ROLAND,JOUHE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901679,Non Seveso
"POINT (5.49590013989124 47.6235775323864)","5514",BONGARZONE ET CIE,Lieu-dit Combes Charton,CHAMPLITTE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901784,Non Seveso
"POINT (5.50419948654146 47.1051841767565)","5515",INDUSTRIE DOLOISE MICRO MECANIQUE (IDMM),Zone des Grandes Epenottes,DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600318,Non Seveso
"POINT (5.58988155856966 47.4537257369819)","5516",SYTEVOM,ZI les Giranaux,ARC LES GRAY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012700010,Non Seveso
"POINT (5.49188374296139 47.4882065552759)","5517",RINGUET RECYCLAGE SAS,Z.A. La Boissière,Autrey-lès-Gray,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012700083,Non Seveso
"POINT (5.57828004101655 47.4753198537666)","5518",VELET TERRASSEMENTS SAS,Lieu-dit Les Aiges,Arc-lès-Gray,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901754,Non Seveso
"POINT (5.50278753743315 47.1031880422417)","5519",DPO SARL,"29, rue Macedonio Melloni - ZA Les Epenottes",DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903886,Non Seveso
"POINT (5.42047062579022 47.0453208346635)","5520",SICTOM de Dole,10 rue du Luxembourg,TAVAUX,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905582,Non Seveso
"POINT (5.51295141047912 47.1103898385619)","5521",SICTOM DE LA ZONE DE DOLE,22 allée du Bois,Brevans,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905612,Non Seveso
"POINT (5.47094564226197 47.1055664143705)","5522",SADE,rue du Mont d'Alans (RD 905),DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906460,Non Seveso
"POINT (5.51801335092703 47.1131171128499)","5523",BIPE,22 ALLÉE DU BOIS,BREVANS,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906510,Non Seveso
"POINT (5.4990823837722 47.0753445350023)","5530",GROUPE MAINE SAS,RUE DU GENERAL BETHOUARD - ZONE PORTUAIRE,DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300941,Non Seveso
"POINT (5.49206661857223 47.0798827862035)","5532",IDEAL STANDARD INDUSTRIES,65 RUE DE CRISSEY - BP 319,DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900827,Non Seveso
"POINT (5.48648328061932 47.1398130066485)","5533",Société Routière & Dragages Est,,JOUHE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900856,Non Seveso
"POINT (5.49522805697999 47.1131516770375)","5534",MOREL Alexandre,"8, rue Monge",DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100086,Non Seveso
"POINT (5.46482296932848 46.9673573116581)","5535",BAUDIN Jean (Ets),Lieu-dit MEIX FETOU,BALAISEAUX,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100091,Non Seveso
"POINT (5.57691674687402 47.486734218908)","5536",BONGARZONE ET CIE,Charme du Moulin,CHARGEY LES GRAY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901789,Non Seveso
"POINT (5.55952267895845 47.4225410945898)","5537",GSM (Velet) (Prés Médecins),Lieu-dit  Prés Médecins,VELET,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901896,Non Seveso
"POINT (5.49135307328359 47.1717475215739)","5538",PLOYER Georges,Lieu-dit Les Pandelières,CHEVIGNY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600090,Non Seveso
"POINT (5.57150733468529 47.4521427401843)","5539",PIVER SARL,122 route de Dijon,ARC LES GRAY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901067,Non Seveso
"POINT (5.50088936237886 47.1123177701611)","5540",BRICE René,"15, rue de la Montée Rouge",AUTHUME,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600518,Non Seveso
"POINT (5.6025727963172 47.238118610632)","5541",GUINTOLI (Thervay),,THERVAY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600460,Non Seveso
"POINT (5.54574730721642 47.419465947992)","5542",GSM BOURGOGNE FRANCHE COMTE,Lieu-dit Bois de la Vaivre,VELET,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012900127,Non Seveso
"POINT (5.49436965517279 47.0737979667881)","5543",RECONNEILLE (Société Nouvelle),MONT D'ALANS,DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901664,Non Seveso
"POINT (5.44345782036967 47.4583330184479)","5544",BONGARZONE ET CIE (Autrey lès Ray),Lieu-dit Aux Lavières,AUTREY LES GRAY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901760,Non Seveso
"POINT (5.54933731084455 47.3535208844675)","5545",SYTEVOM (CSD de Classe 2),La Ferme Grandjean,Vadans,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901939,Non Seveso
"POINT (5.41960451982018 47.0609759396949)","5552",Société Jurassienne de Céramique Française,"USINE DE BELVOYE - 4,Rue du Moulin",DAMPARIS,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900806,Non Seveso
"POINT (5.48561195511296 47.0805982947089)","5553",CLAVIERE VIANDES SAS,RUE DU GENERAL BETHOUART - Zone Portuaire,DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900811,Non Seveso
"POINT (5.51307112179804 47.1106934955963)","5554",SICTOM de Dole,"22, Allée du Bois",BREVANS,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100068,Non Seveso
"POINT (5.60563029735515 47.4602733086027)","5555",VPAO SARL,ZI les Giranaux - 3 rue du Port,ARC LES GRAY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012200033,Non Seveso
"POINT (5.55381612449458 47.1299419941067)","5556",COLRUYT RETAIL FRANCE,4 rue Entrepôts,ROCHEFORT SUR NENON,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600037,Non Seveso
"POINT (5.46132254383174 47.0684626026899)","5557",GROUPEMENT DE COOPERATION SANITAIRE BLANCHISSERIE INTERHOSPITALIERE DU JURA - GCS,120 ROUTE NATIONALE,DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600139,Non Seveso
"POINT (5.49050094742148 47.1170727791796)","5558",PERNOT S.E.T. (Authume),Au Grand Mont,AUTHUME,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901622,Non Seveso
"POINT (5.39288362727249 47.0032724731869)","5559",PERNOT S.E.T. (Champdivers),L ILION CHAUDAT GRAN,CHAMPDIVERS,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901637,Non Seveso
"POINT (5.48825172379192 47.0809378186477)","5560",SICTOM de Dole,Rue Coste et Bellonte,DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904100,Non Seveso
"POINT (5.55781211869115 47.2913751526033)","5561",3 M (GAEC DES),route  broye,PESMES,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000607,
"POINT (5.56887357045338 47.159505135677)","5565",GAEC MARECHAL-LYET,rue fontaine,AMANGE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053900004,Non Seveso
"POINT (5.45891243960906 46.9887059289124)","5566",BESANCON,,RAHON,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900945,Non Seveso
"POINT (5.49436965517279 47.0737979667881)","5567",SITA CENTRE-EST (ex ECOSPACE),lieu dit St Martin,DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900812,Non Seveso
"POINT (5.53752213773238 47.1048629183988)","5568",CAPPI (Association),Lieu-dit Le Bois des Ruppes,BAVERANS,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100090,Non Seveso
"POINT (5.51299929258763 47.0005028039172)","5569",PERNOT S.E.T. (Nevy-lès-Dole),L ACCRUE LAMBERT,NEVY LES DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901703,Non Seveso
"POINT (5.5031452503554 46.9722698759047)","5570",RAMBOZ JEAN,LES ASSIETTES,VILLERS ROBERT,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901741,Non Seveso
"POINT (5.45676811573546 47.0657221639503)","5571",CORA (ex-station service GMB-SADAL),RN 73 - Chemin du Fourney,CHOISEY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906075,Non Seveso
"POINT (5.45474682567567 47.0644680440631)","5574",CORA SA,"7A, RN 73",CHOISEY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600426,
"POINT (5.44345782036967 47.4583330184479)","5586",GIROUX Maurice et ses fils (Interval),Route de Saint-Seine,AUTREY LES GRAY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300391,
"POINT (5.3896693183153 47.05947334899)","5587",POLYPEINT INDUSTRIE ex COSTAGLIOLA,Usine SOLVAY - section AK No 32 - 4A route nationale,ABERGEMENT LA RONCE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300535,
"POINT (5.56549131702878 47.4271831243951)","5588",MENNETRIER Stéphane,28 Grande Rue,VELET,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301604,
"POINT (5.57559188635073 47.4575554309651)","5589",Locataires de N. MERCIER,Avenue Jean Jaurès,ARC LES GRAY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003302364,
"POINT (5.49436965517279 47.0737979667881)","5590",ECCOFOR,24 CHEMIN DU CHAMP DEZ,ST YLIE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003302684,
"POINT (5.4990823837722 47.0753445350023)","5591",E.LECLERC,RUE GENERAL BETHOUART,DOLE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003302960,
"POINT (5.4990823837722 47.0753445350023)","5592",LIDL,RUE COSTES ET BELLONTE,DOLE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003302958,
"POINT (5.4990823837722 47.0753445350023)","5593",BATI DOLE SARL,RUE COSTES ET BELLONTE,DOLE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003302959,
"POINT (5.37042227996754 47.0713991988931)","5594",MONNOYEUR (GLOBAL HYGIENE),"11, route de Damparis",Abergement-la-Ronce,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900694,
"POINT (5.45622199676195 47.1350730797487)","5595",JURAPAL SARL,LD CHEMIN DE BIARNE - BP 369,SAMPANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100050,
"POINT (5.3825162364893 47.4543640059675)","5596",SCP GUYON DAVAL (mandataires judiciaires,La Forge,LOEUILLEY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901186,
"POINT (5.59545982950827 47.4488189211448)","5597",ARCELORMITTAL Centres de Services,5 rue de la Plage,GRAY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012700062,
"POINT (5.55204361709887 47.3953611655533)","5598",ERDF - Réseau Alsace Franche-Comté,Poste La Côte,APREMONT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903914,
"POINT (5.44632128033633 47.082733818074)","5599",LOPPE Jacky,5 impasse des coquelicots,FOUCHERANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904286,
"POINT (5.41928374921603 47.0453006678029)","5600",INTERVAL,2 rue de Bruxelle,TAVAUX,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905269,
"POINT (5.5483061079938 47.6445454548763)","5601",RHONE (GAEC du),Ferme du Rhone,NEUVELLE LES CHAMPLITTE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000194,
"POINT (5.5176757934962 47.6319715256309)","5602",EARL de la RIOTTE (Poissenot Bernard),ROUTE CHAMPLITTE,NEUVELLE LES CHAMPLITTE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000203,
"POINT (5.58539458338637 47.3346827594693)","5603",CHEVIGNEY (GAEC  de),2 Rue du Coucot,CHEVIGNEY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000249,
"POINT (5.57559188635073 47.4575554309651)","5610",SMG MAGYAR,Z.I. des Giranaux,ARC LES GRAY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901064,
"POINT (5.57981041957975 47.147146457337)","5611",EFR FRANCE,Autoroute A 36,AUDELANGE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600033,
"POINT (5.58443164464695 47.1493493084171)","5612",EFR FRANCE,Autoroute A 36,ROMANGE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600170,
"POINT (5.52963004607621 47.4198716639338)","5613",BRISARD Bernard et fils SAS,Route de Gray,MANTOCHE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012700042,
"POINT (5.48749533108668 47.0891240007303)","5614",PRESSING 2001,"4, avenue Georges Pompidou",DOLE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903890,
"POINT (5.5176757934962 47.6319715256309)","5616",GAEC DU RHONE,,CHAMPLITTE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903784,
"POINT (5.44632128033633 47.082733818074)","5617",GARAGE TROUF PENNANT,23 CHE DE ROUGEMONT,FOUCHERANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003303389,
"POINT (5.4990823837722 47.0753445350023)","5618",GIRARDOT PNEUS,24 AV MARECHAL JUIN,DOLE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003303391,
"POINT (5.4990823837722 47.0753445350023)","5619",RT CENTR'AUTO DOLOIS,104 AV JACQUES DUHAMEL,DOLE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003303392,
"POINT (5.514257305113 47.1129286191633)","5621",ALPHA CARBONE,ZA SICTOM de Dole,AUTHUME,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904718,Seveso seuil bas
"POINT (5.49554868372041 47.1126673576025)","5623",C SERRAND,8 Rue Monge,Dole,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301677,
"POINT (5.42997357788874 47.0556060017944)","5624",BGI DISTRIBUTION SAS,Avenue Innovia - ZAC Innovia,Damparis,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904720,Non Seveso
"POINT (5.51299929258763 47.0005028039172)","5625",GTM CONSTRUCTION,,NEVY LES DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900942,Non Seveso
"POINT (5.56461953902365 47.4217262981026)","5626",Société GSM SAS,VELET,Velet,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904619,Non Seveso
"POINT (5.48602122387572 47.0934793563819)","5628",FROMAGERIES BEL PRODUCTION FRANCE (FBPF),74 Rue du Mont Roland - BP159,Dole,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900821,Non Seveso
"POINT (5.59767017934031 47.4568846082834)","5629",EUROCHANVRE SN SARL,7 route de Dijon,ARC LES GRAY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901058,Non Seveso
"POINT (5.50530413277787 47.6232860722899)","5630",COMMUNE DE CHAMPLITTE,Les Fourches,CHAMPLITTE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906334,Non Seveso
"POINT (5.60026621525678 47.457565181727)","5633",INTERVAL Coopérative Agricole,Z.I. Les Giranaux,ARC LES GRAY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901057,Non Seveso
"POINT (5.51476936694677 47.2813815972474)","5634",CHASSEY ENERGIE,ROUTE DE CLERY - LIEU-DIT LA MARE PREVOISET,MUTIGNEY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301749,
"POINT (5.56623103636911 47.1680669728243)","5635",GAEC DE LA FONTAINE,1 Impasse du Moulinot,AMANGE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905735,
"POINT (5.55313064122054 47.1344159354526)","5636",EQIOM (Cimenterie),Zone Industrielle - BP13,Rochefort-sur-Nenon,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900978,Non Seveso
"POINT (5.4260778345834 47.0510400327666)","5637",XPO TANK CLEANING SUD FRANCE,ZI Les Pièces du Milieu - RN 73,Damparis,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901978,Non Seveso
"POINT (5.45956565984814 47.4924419614838)","5638",JMJ COMPOST SARL,Lieu-Dit Champ Nicolas,Autrey-lès-Gray,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904014,Non Seveso
"POINT (5.49816637885802 47.1090798665206)","5639",C.SERRAND SAS,5 Rue Joseph Marie JACQUARD,Dole,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900815,
"POINT (5.5561104457147 47.128224885756)","5641",CERELIA ROCHEFORT SUR NENON,ZI du Firoulage,Rochefort-sur-Nenon,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600036,Non Seveso
"POINT (5.54823577040684 46.9980184293246)","5642",DANZER (ex JURA PLACAGE),18 rue Corne Balland,Souvans,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600107,Non Seveso
"POINT (5.55642953713393 47.1310552629379)","5643",AMF Qualité Sécurité Environnement,ZI Le Firoulage,ROCHEFORT SUR NENON,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600035,Non Seveso
"POINT (5.39337685562095 47.0574780235381)","5646",ALFI,Air Liquide-plate-forme chimique de Tavaux - BP 9,Tavaux,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901027,Seveso seuil bas
"POINT (5.5176757934962 47.6319715256309)","5648",BOHLEY Bernard,les friches de Frettes,NEUVELLE LES CHAMPLITTE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000205,Non Seveso
"POINT (5.43269471187438 47.0542786644305)","5649",YNSECT,3 avenue Innovia - ZAC Innovia,Choisey,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906433,Non Seveso
"POINT (5.58777247502725 47.4570690777573)","5650",JOHN DEERE SAS,2 avenue Jean Jaurès,ARC LES GRAY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901066,Non Seveso
"POINT (5.49925000806698 47.1131008439077)","5651",C&K Components SAS,"2, Rue Berthollet - BP 359",Dole,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900824,Non Seveso
"POINT (5.56086530906646 47.1324614276952)","5653",PROSERVE DASRI,10 rue des Métiers - ZI,ROCHEFORT SUR NENON,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904885,Non Seveso
"POINT (5.46400339282698 47.07981802933)","5654",SOCCRAM,avenue Charles Laurent Thouverey,Dole,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900825,Non Seveso
"POINT (5.60158613915722 47.5000287050226)","5655",HAZOTTE Hervé,ferme des minières,Chargey-lès-Gray,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000221,
"POINT (5.49240615491113 47.1126180416684)","5657",BOUVARD ALINA INDUSTRIE,ZI Tumulus,Dole,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904287,Non Seveso
"POINT (5.49547824950585 47.6131310863417)","5659",ATEMAX FRANCE,Route d'Orain,Neuvelle-lès-Champlitte,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000204,Non Seveso
"POINT (5.56894763496714 47.448884855687)","5660",FRANCE BOIS IMPREGNES SAS,Route de Dijon,Arc-lès-Gray,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901061,Non Seveso
"POINT (5.55862171500437 47.4247945658018)","5661",GSM,"Lieu dit ""Près Brenot""",Velet,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0100006759,
"POINT (5.4020608061144 47.0559556615816)","5663",INOVYN France,usine de Tavaux - 2 avenue de la république,Tavaux,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902685,Seveso seuil haut
"POINT (7.00299333329273 47.5118641751881)","6318",LISI AUTOMOTIVE FORMER,28 faubourg de Belfort - BP 25,DELLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901397,Non Seveso
"POINT (6.96222990006364 47.4730604433722)","6319",GAEC DU MONT,CIDEX 543,ST DIZIER L EVEQUE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000063,Non Seveso
"POINT (7.08572301084845 47.5629636066998)","6320",GAEC DE LA SUARCINE,M THEVENOT CHRISTOPHE - 10 GRANDE RUE,SUARCE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000046,Non Seveso
"POINT (6.96329875827943 47.679097334663)","6335",MILLA,,BETHONVILLIERS,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901371,Non Seveso
"POINT (6.98869168442055 47.5122107174346)","6336",VON ROLL ISOLA FRANCE,Combe de la Ville,DELLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901390,Non Seveso
"POINT (7.00113716134192 47.514613874335)","6337",VOESTALPINE (ex AMSTUTZ LEVIN),40 faubourg de Belfort - BP 69,DELLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901395,Non Seveso
"POINT (7.04636512398084 47.5927367806013)","6338",MAIRIE DE CHAVANNES LES GRANDS,Champ Travers,CHAVANNES LES GRANDS,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012400096,Non Seveso
"POINT (7.01014274396844 47.5073279146276)","6339",DELLE FONDERIE INDUSTRIELLE S.A.S.,10 rue des Parcs - B.P. 89,DELLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012800026,Non Seveso
"POINT (6.95068798493723 47.5052324366056)","6340",CCST UIOM,16  RUE GRANDE,FECHE L EGLISE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901415,Non Seveso
"POINT (7.01569757233554 47.5699396276406)","6341",AUTO CASSE COELHO,1 rue du Bois des Tailles,VELLESCOT,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901473,Non Seveso
"POINT (6.95386796357114 47.4678379164675)","6342",LES CARRIERES COMTOISES,Lieu-dit Champ de la Raye,ST DIZIER L EVEQUE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901922,Non Seveso
"POINT (7.04359328064252 47.5174647789988)","6343",GAEC des Piscicultures DUCLOUX Michel e,"7 bis, rue principale",FAVEROIS,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000020,Non Seveso
"POINT (7.02552106514101 47.5158195299264)","6349",ALBIZZATI (ISDI),Carrière des Grappates,FAVEROIS,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903484,Non Seveso
"POINT (7.07773564990761 47.4983011953529)","6355",COMMUNE,lieu-dit Sous Moron,COURCELLES,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012400099,Non Seveso
"POINT (7.08107563140166 47.518185327519)","6356",COMMUNE,Les Ragies,COURTELEVANT,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012400100,Non Seveso
"POINT (6.99929481605484 47.574802614463)","6357",COMMUNE,Etangs de la Ville,GROSNE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012400201,Non Seveso
