WKT,id,nom_ets,adresse,commune,lib_regime,url_fiche,lib_seveso
"POINT (5.9935537784868 47.2651286589911)","10138",TOURNIER CHARLES,Rue Urbain Leverrier,BESANCON,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900096,Non Seveso
"POINT (5.97558697521501 47.233212877486)","10139",EMT 25 (Besancon),ZI des Tilleroyes - BP 1991,BESANCON,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900135,Non Seveso
"POINT (6.07988129789059 47.2837602348996)","10140",FRAPORLUX,,THISE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900623,Non Seveso
"POINT (5.9926200322412 47.2008457328874)","10141",STEHLY Pierre,rue du bourg,BEURE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902031,Non Seveso
"POINT (6.16852363486346 47.3320064824446)","10142",CHATILLON CUYOTTE (Commune de),,CHATILLON GUYOTTE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902308,Non Seveso
"POINT (6.17523422573689 47.3885196016303)","10143",RIGNEY (Commune de- ancien dépôt),lieu non connu - Ancien dépôt,RIGNEY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902436,Non Seveso
"POINT (6.26617126282881 47.2908991156114)","10144",Dammartin (Commune de),lieu-dit Bois Rame,DAMMARTIN LES TEMPLIERS,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902312,Non Seveso
"POINT (6.0235971954965 47.2569075125429)","10145",CARRIERE SAUVAGE (PBTP/Besancon/Joliboi),Parcelle PX 54 appartenant à M. JOLIBOIS - Vers chemin de Tallenay,BESANCON,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904385,Non Seveso
"POINT (5.96024585731128 47.1991372611018)","10146",CARRIERE SAUVAGE (Avanne),RD 106,AVENEY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904419,Non Seveso
"POINT (6.13066674538571 47.3216367315332)","10147",STD (Marchaux),Lieu-dit Au Grandes Planches,MARCHAUX-CHAUDEFONTAINE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902380,Non Seveso
"POINT (6.0833248204731 47.2851642891284)","10148",AD COLARD,,THISE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903692,
"POINT (6.3486544354021 47.2856726928109)","10149",ISDI ILLEGALE,,ST JUAN,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301322,
"POINT (6.0833248204731 47.2851642891284)","10150",BOLLORE ENERGIE,34 rue de l'Hermitage,THISE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300464,
"POINT (6.10578479652063 47.4649537574112)","10151",ISDI (doline),,QUENOCHE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906503,
"POINT (5.98747440391786 47.2745646868616)","10152",USICARB TECHNOLOGIES,rue Lirenne,ECOLE VALENTIN,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300057,
"POINT (6.01947032014568 47.3224025568689)","10153",FER ET METAUX SERVICES,rue de SODETAL,Devecey,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300100,
"POINT (6.07927015414976 47.4386593818562)","10154",INTERVAL (Coopérative Agricole),Bois du Chaillaud,RIOZ,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300375,
"POINT (6.00005233652276 47.3049514419595)","10155",ISDI,ancienne RN 57 sous l'échangeur d'Auxon,CHATILLON LE DUC,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301624,
"POINT (6.0235971954965 47.2569075125429)","10156",ISDI (bordini),Lieu-Dit Les Champs Sauget - Parcelle 000 PX 46,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301654,
"POINT (6.11258596922308 47.2093238171605)","10157",ISDI (Doline),A 100 mètres à l'est des fosses de Saône,SAONE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301753,
"POINT (6.0235971954965 47.2569075125429)","10158",AFPA (plainte),19 Avenue de l'Observatoire,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301803,
"POINT (6.0045154389891 47.2034206812909)","10159",ACCOBAT,parcelles AK 96 et 267,BEURE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301969,
"POINT (6.0235971954965 47.2569075125429)","10160",DISTRIBUTION CASINO FRANCE HM,ZAC Chateaufarine,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301984,
